direction_law,sampler,transport_proposal,transport_kappa,transport_steps,gradient_history,projection_probability,replicate,seed,runtime_seconds,ridge_iteration,ridge_found,stop_transport_idx,accepted_transport,transport_logp_gain,transport_endpoint_beta0,transport_endpoint_beta1,transport_endpoint_sigma,transport_endpoint_s,max_abs_beta0_transport,max_abs_beta1_transport,max_sigma_transport,max_s_transport,max_transport_jump,mean_beta0,mean_beta1,mean_sigma,mean_s,final_logp,nfev,output,stdout
kappa,sas,random,10.0,100,3,0.5,5,2026062905,38.14393270795699,15311,True,100,74,55766754.13811986,81.7179210789132,119.6094051985443,16191.305000134658,1.1182656565989866,84.41787216036909,122.31728482976997,19258.165478911968,1132377719.3062582,47.118957147874546,-52149.62455227565,1125.7309664136212,13041.655948820919,712.4786304966018,-13874.241770274852,3654351,draws/transport_direction_trials/kappa_05.h5,means: -52149.6  1125.73  13041.7  712.479 | stds: 11553.5 172.198 169.779  238.31 | Number log_density evals: 3654351 | Acceptance rate: 0.9854 | Output: draws/transport_direction_trials/kappa_05.h5
projected,sas,random,10.0,100,3,0.5,5,2026062905,37.03786541696172,22143,True,100,16,2916919618.9065285,-11.805596895619122,-77.64880418968278,8.9859727483419,5.956014785146843e-153,149.1865160198897,266.4266116402365,11.532587609308928,0.35886593871323835,60.71787831302486,-27777.092362703817,762.5989869366941,13123.786712810512,493.1180053400271,-13874.533708832265,3519785,draws/transport_direction_trials/projected_05.h5,means: -27777.1  762.599  13123.8  493.118 | stds: 26962.3 401.643 180.991  300.34 | Number log_density evals: 3519785 | Acceptance rate: 0.934233 | Output: draws/transport_direction_trials/projected_05.h5
kappa,sas,random,10.0,100,3,0.5,6,2026062906,38.158118250081316,23442,True,100,69,14987901.020297771,-283.1007340211821,327.1398780464262,14546.347136077138,1.1411480841254776e-28,287.29806531135665,332.5444071895967,14546.347136077138,638125339.7026167,68.82442700888878,-23491.760025551586,698.781031449376,13132.841676328446,453.60060328443393,-13876.151172226879,3624816,draws/transport_direction_trials/kappa_06.h5,means: -23491.8  698.781  13132.8  453.601 | stds: 27301.9 406.789 190.751 303.012 | Number log_density evals: 3624816 | Acceptance rate: 0.9781 | Output: draws/transport_direction_trials/kappa_06.h5
projected,sas,random,10.0,100,3,0.5,6,2026062906,35.07976700004656,4106,True,100,32,4374895789799.8794,6983.486173904629,-1338.8901798399822,48246.28625076925,1.6981811185555026e-120,8542.441196749993,1350.8986099095155,48691.94574496974,162.40207067840527,1086.4144410981623,-55358.96918636981,1173.5737517638463,13042.553080037353,725.3590645815377,-13873.955881291622,3341059,draws/transport_direction_trials/projected_06.h5,means:  -55359 1173.57 13042.6 725.359 | stds: 6876.16 102.601 159.415 222.947 | Number log_density evals: 3341059 | Acceptance rate: 0.975533 | Output: draws/transport_direction_trials/projected_06.h5
kappa,sas,random,10.0,100,3,0.5,7,2026062907,35.1654109590454,9757,True,100,65,87.86726033137529,199.3045901804445,-110.89229560504111,21469.540080536382,4.3331193269454265e-36,199.35443290291192,113.92634261795502,23280.118463995375,4.605003364055938e-36,241.2490202402717,-55258.80359087542,1172.042312182827,13046.808062702417,717.6794439539981,-13872.023917305445,3365237,draws/transport_direction_trials/kappa_07.h5,means: -55258.8  1172.04  13046.8  717.679 | stds: 7358.88 109.767 184.008 229.239 | Number log_density evals: 3365237 | Acceptance rate: 0.9846 | Output: draws/transport_direction_trials/kappa_07.h5
projected,sas,random,10.0,100,3,0.5,7,2026062907,35.66942366701551,9444,True,100,16,5015608478630.924,-299.4097064588037,-161.026228533597,23132.32610968978,6.4668896962863e-106,301.4033297465716,161.026228533597,23983.729665233925,2.1663798088079744,156.7575024835614,-55042.981992149216,1168.8239637592885,13018.73669930111,706.8306746876616,-13873.330819511555,3400033,draws/transport_direction_trials/projected_07.h5,means:  -55043 1168.82 13018.7 706.831 | stds: 7030.25 104.876 172.568 238.845 | Number log_density evals: 3400033 | Acceptance rate: 0.973567 | Output: draws/transport_direction_trials/projected_07.h5
kappa,sas,random,10.0,100,3,0.5,8,2026062908,37.87595008290373,20331,True,100,57,106.02560183028982,-61.01152223216076,43.0313789334777,17692.161756054,0.04405362018374604,63.33450845726548,45.91448685234465,19002.16448038042,2.1828170165421077,55.265344238780884,-33456.297285396766,847.2112312511997,13100.046368506966,548.5896031045014,-13875.418966847492,3616918,draws/transport_direction_trials/kappa_08.h5,means: -33456.3  847.211    13100   548.59 | stds: 25453.1 379.339  186.78 300.988 | Number log_density evals: 3616918 | Acceptance rate: 0.9816 | Output: draws/transport_direction_trials/kappa_08.h5
projected,sas,random,10.0,100,3,0.5,8,2026062908,35.45243487495463,9209,True,100,49,139097974117.68365,1715.6598298780357,200.87996199366242,13360.772513779139,1.1271735608008135e-68,1900.3080822189593,235.7583199039631,13929.258468424712,1.1587455499297985,192.02728705819314,-55872.72908184838,1181.1939370585058,13036.53256028942,748.10393003332,-13873.746309924207,3368389,draws/transport_direction_trials/projected_08.h5,means: -55872.7  1181.19  13036.5  748.104 | stds: 6580.65 98.1601 156.047 211.438 | Number log_density evals: 3368389 | Acceptance rate: 0.980167 | Output: draws/transport_direction_trials/projected_08.h5
kappa,sas,random,10.0,100,3,0.5,9,2026062909,34.96909816702828,8400,True,100,51,3237311.872665356,208.5755983704501,414.0893462529724,29093.511307944675,2.4742294192120356e-30,208.5755983704501,414.0893462529724,29093.511307944675,2.4742294192120356e-30,506.76786664636046,-54853.513784524024,1165.9887455494058,13059.028877299368,745.480958777026,-13874.591160807531,3349206,draws/transport_direction_trials/kappa_09.h5,means: -54853.5  1165.99    13059  745.481 | stds: 6957.73 103.738 163.078 217.154 | Number log_density evals: 3349206 | Acceptance rate: 0.9793 | Output: draws/transport_direction_trials/kappa_09.h5
projected,sas,random,10.0,100,3,0.5,9,2026062909,5.9402859170222655,,False,100,13,151673513237.2627,504.2076253223932,-158.28492094449672,0.8620257253849805,3.99473548422668e-152,527.8140356904208,158.38571343546357,0.8620257253849805,1.4633327714643272,95.55813238437538,500.6627815152199,0.00023586502251806977,19815.848591717986,3.7496477237583155e-152,-18932.519871233977,560527,draws/transport_direction_trials/projected_09.h5,means:      500.663  0.000235865      19815.8 3.74965e-152 | stds: 0.000577254 0.000577254 0.000577254 0.000577254 | Number log_density evals: 560527 | Acceptance rate: 0.213667 | Output: draws/transport_direction_trials/projected_09.h5
kappa,sas,random,10.0,100,3,0.5,10,2026062910,35.0703431670554,11571,True,100,72,384.1163013963196,-20.836837762029457,58.09993278892671,17464.761952563702,3.6182253267550407e-12,22.194530037974094,58.111174628494936,20687.954297133994,3.621324784710105e-12,61.58004576489311,-55177.59937442948,1170.8342841639956,13032.18895960015,723.337260396484,-13872.638969145035,3350584,draws/transport_direction_trials/kappa_10.h5,means: -55177.6  1170.83  13032.2  723.337 | stds: 7196.09 107.355 159.636 238.228 | Number log_density evals: 3350584 | Acceptance rate: 0.986167 | Output: draws/transport_direction_trials/kappa_10.h5
projected,sas,random,10.0,100,3,0.5,10,2026062910,35.25360279204324,307,True,100,30,456885088839.35144,-162153.27773300573,-1294.4020923836858,33294.46777062158,21766548.042087145,162153.27773300573,1294.4020923836858,33294.46777062158,21766548.042087145,370.3141608432849,-55001.489623344016,1168.1976337943154,13040.31815695217,729.3478450865892,-13873.466264125434,3345009,draws/transport_direction_trials/projected_10.h5,means: -55001.5   1168.2  13040.3  729.348 | stds: 7093.86 105.847 159.538 226.858 | Number log_density evals: 3345009 | Acceptance rate: 0.9462 | Output: draws/transport_direction_trials/projected_10.h5
kappa,sas,random,10.0,100,3,0.5,11,2026062911,34.964552540914156,3288,True,100,73,9588198504.524466,-166.09190939396797,102.48873135182983,16214.784203022344,2.0153984882648782e-05,166.8155183697064,102.48873135182983,17779.38510473737,311709145745.75903,24.788208599420578,-53700.806045460675,1148.7869296943875,13032.17076651269,719.9422922382528,-13871.870809047641,3353380,draws/transport_direction_trials/kappa_11.h5,means: -53700.8  1148.79  13032.2  719.942 | stds: 7097.93 105.871 165.045 230.708 | Number log_density evals: 3353380 | Acceptance rate: 0.992267 | Output: draws/transport_direction_trials/kappa_11.h5
projected,sas,random,10.0,100,3,0.5,11,2026062911,34.65996745903976,31,True,100,50,9087353856890.557,-2860094.953564204,8257.419495427275,397525.0625209628,7348.757520063256,11855411.005103154,143662.63571397332,501308.1332998054,1431066820.7070262,410.80822372102404,-56198.75511545279,1186.1013517904705,13045.078944834991,732.6072111568376,-13872.67948895213,3315832,draws/transport_direction_trials/projected_11.h5,means: -56198.8   1186.1  13045.1  732.607 | stds: 6871.95 102.506  168.47 225.813 | Number log_density evals: 3315832 | Acceptance rate: 0.982333 | Output: draws/transport_direction_trials/projected_11.h5
kappa,sas,random,10.0,100,3,0.5,12,2026062912,35.58362050005235,7307,True,100,71,124.75565130251925,10.357115428892397,9.582604723534,18723.43534254251,0.8181353767822469,10.76045172094999,9.663444134941427,20218.901612119473,0.8563997880418913,12.944648444433524,-55703.7761827045,1178.6398382766176,13067.981176377803,728.3919332660182,-13873.001063907055,3392611,draws/transport_direction_trials/kappa_12.h5,means: -55703.8  1178.64    13068  728.392 | stds: 7140.51 106.574 149.542 234.156 | Number log_density evals: 3392611 | Acceptance rate: 0.989333 | Output: draws/transport_direction_trials/kappa_12.h5
projected,sas,random,10.0,100,3,0.5,12,2026062912,34.819242458906956,5302,True,100,14,11948297885.937117,369.88899651652554,-15133.944919806181,221586.2557533945,7.773003552002504e-58,476.8443571698749,15133.944919806181,221586.2557533945,3.0721440402697153,1454.08863545799,-54621.80133974502,1162.545235457442,13047.177384862523,742.977156206778,-13872.820257639554,3327258,draws/transport_direction_trials/projected_12.h5,means: -54621.8  1162.55  13047.2  742.977 | stds: 6848.12 102.173 159.435 219.417 | Number log_density evals: 3327258 | Acceptance rate: 0.987367 | Output: draws/transport_direction_trials/projected_12.h5
kappa,sas,random,10.0,100,3,0.5,13,2026062913,35.27682004205417,7649,True,100,65,444.2783842254612,0.4012929278894202,15.845177168271274,18452.250272470734,2.40486238119858,12.10692394245044,35.583631946855,20235.96787269049,3.1411394912282993,49.45826707735453,-55888.995139042905,1181.4252586402588,13033.894016551649,735.2105532541437,-13875.079088012482,3381723,draws/transport_direction_trials/kappa_13.h5,means:  -55889 1181.43 13033.9 735.211 | stds: 6762.38 100.902 155.481 222.512 | Number log_density evals: 3381723 | Acceptance rate: 0.991633 | Output: draws/transport_direction_trials/kappa_13.h5
